string_config,accuracy,error,precision,recall,f1
decisionTreeLog_varFare_varSex_varClass,0.8130841121495327,0.18691588785046728,0.8107532265242545,0.8130841121495327,0.8112318416199741
svmLog_varFare_varSex_varClass,0.705607476635514,0.29439252336448596,0.7103152136990358,0.705607476635514,0.6611382772489222
naiveBayesLog_varFare_varSex_varClass,0.7102803738317757,0.2897196261682243,0.6991908965039806,0.7102803738317757,0.6964599848498738
regLogisticLog_lr=1e-05_reg=0.001_bath_size=15_varFare_varSex_varClass,0.35046728971962615,0.6495327102803738,0.12504936159010135,0.35046728971962615,0.18432881673835005
regLogisticLog_lr=1e-05_reg=0.001_bath_size=15_varFare_varSex_varClass,0.6448598130841121,0.35514018691588783,0.5942955387056956,0.6448598130841121,0.513939269453288
regLogisticLog_lr=1e-05_reg=0.001_bath_size=10_varFare_varSex_varClass,0.35514018691588783,0.6448598130841121,0.12612455236265177,0.35514018691588783,0.18614244279729295
regLogisticLog_lr=1e-05_reg=0.001_bath_size=10_varFare_varSex_varClass,0.6495327102803738,0.35046728971962615,0.7729366855337633,0.6495327102803738,0.5162936751721798
regLogisticLog_lr=1e-05_reg=0.001_bath_size=10_varFare_varSex_varClass,0.6495327102803738,0.35046728971962615,0.7729366855337633,0.6495327102803738,0.5162936751721798
regLogisticLog_lr=1e-05_reg=0.001_bath_size=10_varFare_varSex_varClass,0.6448598130841121,0.35514018691588783,0.415844178530876,0.6448598130841121,0.5056287170773152
regLogisticLog_lr=1e-05_reg=0.001_bath_size=10_varFare_varSex_varClass,0.35046728971962615,0.6495327102803738,0.12504936159010135,0.35046728971962615,0.18432881673835005
regLogisticLog_lr=1e-05_reg=0.001_bath_size=10_varFare_varSex_varClass,0.6495327102803738,0.35046728971962615,0.7729366855337633,0.6495327102803738,0.5162936751721798
regLogisticLog_lr=0.0001_reg=0.001_bath_size=10_varFare_varSex_varClass,0.6448598130841121,0.35514018691588783,0.415844178530876,0.6448598130841121,0.5056287170773152
regLogisticLog_lr=1e-05_reg=0.001_bath_size=10_varFare_varSex_varClass,0.6495327102803738,0.35046728971962615,0.7729366855337633,0.6495327102803738,0.5162936751721798
regLogisticLog_lr=1e-05_reg=0.001_bath_size=10_varFare_varSex_varClass,0.35046728971962615,0.6495327102803738,0.12504936159010135,0.35046728971962615,0.18432881673835005
regLogisticLog_lr=1e-05_reg=0.001_bath_size=10_varFare_varSex_varClass,0.6448598130841121,0.35514018691588783,0.415844178530876,0.6448598130841121,0.5056287170773152
regLogisticLog_lr=1e-05_reg=0.001_bath_size=12_varFare_varSex_varClass,0.6495327102803738,0.35046728971962615,0.7729366855337633,0.6495327102803738,0.5162936751721798
regLogisticLog_lr=1e-05_reg=0.001_bath_size=12_varFare_varSex_varClass,0.35514018691588783,0.6448598130841121,0.12612455236265177,0.35514018691588783,0.18614244279729295
regLogisticLog_lr=1e-05_reg=0.001_bath_size=12_varFare_varSex_varClass,0.35514018691588783,0.6448598130841121,0.12612455236265177,0.35514018691588783,0.18614244279729295
regLogisticLog_lr=1e-05_reg=0.001_bath_size=12_varFare_varSex_varClass,0.35514018691588783,0.6448598130841121,0.12612455236265177,0.35514018691588783,0.18614244279729295
regLogisticLog_lr=1e-05_reg=0.01_bath_size=10_varFare_varSex_varClass,0.6448598130841121,0.35514018691588783,0.415844178530876,0.6448598130841121,0.5056287170773152
regLogisticLog_lr=1e-05_reg=0.01_bath_size=10_varFare_varSex_varClass,0.6448598130841121,0.35514018691588783,0.415844178530876,0.6448598130841121,0.5056287170773152
regLogisticLog_lr=1e-05_reg=0.01_bath_size=10_varFare_varSex_varClass,0.6495327102803738,0.35046728971962615,0.7729366855337633,0.6495327102803738,0.5162936751721798
regLogisticLog_lr=1e-05_reg=0.01_bath_size=10_varFare_varSex_varClass,0.6448598130841121,0.35514018691588783,0.415844178530876,0.6448598130841121,0.5056287170773152
regLogisticLog_lr=1e-05_reg=0.01_bath_size=10_varFare_varSex_varClass,0.6495327102803738,0.35046728971962615,0.7729366855337633,0.6495327102803738,0.5162936751721798
regLogisticLog_lr=1e-05_reg=0.01_bath_size=10_varFare_varSex_varClass,0.6448598130841121,0.35514018691588783,0.415844178530876,0.6448598130841121,0.5056287170773152
regLogisticLog_lr=1e-05_reg=0.01_bath_size=10_varFare_varSex_varClass,0.35046728971962615,0.6495327102803738,0.12504936159010135,0.35046728971962615,0.18432881673835005
decisionTreeLog_varFare_varSex_varClass,0.794392523364486,0.205607476635514,0.7933426292706226,0.794392523364486,0.7889591964777805
decisionTreeLog_varFare_varSex_varClass,0.822429906542056,0.17757009345794392,0.8262091361213035,0.822429906542056,0.8236602979878567
svmLog_varFare_varSex_varClass,0.6635514018691588,0.3364485981308411,0.646681044811886,0.6635514018691588,0.6282325769150192
svmLog_varFare_varSex_varClass,0.6635514018691588,0.3364485981308411,0.646681044811886,0.6635514018691588,0.6282325769150192
decisionTreeLog_varFare_varSex_varClass,0.822429906542056,0.17757009345794392,0.8262091361213035,0.822429906542056,0.8236602979878567
decisionTreeLog_varFare_varSex_varClass,0.8177570093457944,0.1822429906542056,0.8155049325025961,0.8177570093457944,0.8156878210092697
svmLog_varFare_varSex_varClass,0.7570093457943925,0.24299065420560748,0.7547116618034705,0.7570093457943925,0.7547644210511775
svmLog_varSex_varClass,0.8037383177570093,0.19626168224299065,0.8013358235814468,0.8037383177570093,0.8018628441525638
naiveBayesLog_varFare_varSex_varClass,0.7242990654205608,0.2757009345794392,0.7170059266013221,0.7242990654205608,0.7073575974704965
naiveBayesLog_varFare_varSex_varClass,0.6962616822429907,0.3037383177570093,0.6836424056152048,0.6962616822429907,0.6872751534182548
naiveBayesLog_varFare_varSex_varClass,0.7616822429906542,0.2383177570093458,0.7890694085620654,0.7616822429906542,0.7437308489981526
naiveBayesLog_varFare_varSex_varClass,0.7616822429906542,0.2383177570093458,0.7890694085620654,0.7616822429906542,0.7437308489981526
naiveBayesLog_varFare_varSex_varClass,0.7616822429906542,0.2383177570093458,0.7890694085620654,0.7616822429906542,0.7437308489981526
